t,degree,freq
0.020650916144615894,0,98
0.020650916144615894,1,2
0.023286843187548176,0,96
0.023286843187548176,1,4
0.037916501419678145,0,94
0.037916501419678145,1,6
0.04345559182071154,0,93
0.04345559182071154,1,6
0.04345559182071154,2,1
0.049411365406513696,0,91
0.049411365406513696,1,8
0.049411365406513696,2,1
0.06945628179905082,0,89
0.06945628179905082,1,10
0.06945628179905082,2,1
0.08713282343626703,0,87
0.08713282343626703,1,12
0.08713282343626703,2,1
0.09040193009641674,0,85
0.09040193009641674,1,14
0.09040193009641674,2,1
0.16141247139831574,0,83
0.16141247139831574,1,16
0.16141247139831574,2,1
0.17738001785439433,0,81
0.17738001785439433,1,18
0.17738001785439433,2,1
0.19584974078113246,0,79
0.19584974078113246,1,20
0.19584974078113246,2,1
0.26805788905090705,0,77
0.26805788905090705,1,22
0.26805788905090705,2,1
0.2781897104689374,0,76
0.2781897104689374,1,22
0.2781897104689374,2,2
0.2801637405659235,0,76
0.2801637405659235,1,22
0.2801637405659235,2,2
0.284512897483493,0,74
0.284512897483493,1,24
0.284512897483493,2,2
0.3622800339060562,0,72
0.3622800339060562,1,26
0.3622800339060562,2,2
0.368339779265947,0,71
0.368339779265947,1,26
0.368339779265947,2,3
0.3705507043928004,0,70
0.3705507043928004,1,26
0.3705507043928004,2,4
0.4058030919684283,0,68
0.4058030919684283,1,28
0.4058030919684283,2,4
0.4476747440336337,0,67
0.4476747440336337,1,28
0.4476747440336337,2,5
0.46586891983726686,0,65
0.46586891983726686,1,30
0.46586891983726686,2,5
0.4669363016598738,0,64
0.4669363016598738,1,30
0.4669363016598738,2,6
0.47968787284301273,0,62
0.47968787284301273,1,32
0.47968787284301273,2,6
0.5011016756659848,0,60
0.5011016756659848,1,34
0.5011016756659848,2,6
0.5442024131157146,0,58
0.5442024131157146,1,36
0.5442024131157146,2,6
0.5827717237414681,0,56
0.5827717237414681,1,38
0.5827717237414681,2,6
0.6153704582765533,0,54
0.6153704582765533,1,40
0.6153704582765533,2,6
0.6272841806654997,0,52
0.6272841806654997,1,42
0.6272841806654997,2,6
0.6847630151929391,0,51
0.6847630151929391,1,43
0.6847630151929391,2,5
0.6847630151929391,3,1
0.7023681397095675,0,50
0.7023681397095675,1,43
0.7023681397095675,2,6
0.7023681397095675,3,1
0.7039350835631812,0,49
0.7039350835631812,1,43
0.7039350835631812,2,7
0.7039350835631812,3,1
0.735948468844174,0,47
0.735948468844174,1,45
0.735948468844174,2,7
0.735948468844174,3,1
0.7424949172520949,0,46
0.7424949172520949,1,46
0.7424949172520949,2,6
0.7424949172520949,3,2
0.7601944981364159,0,44
0.7601944981364159,1,48
0.7601944981364159,2,6
0.7601944981364159,3,2
0.7988517401104477,0,43
0.7988517401104477,1,48
0.7988517401104477,2,7
0.7988517401104477,3,2
0.8187858826187291,0,42
0.8187858826187291,1,48
0.8187858826187291,2,8
0.8187858826187291,3,2
0.8272366780278226,0,42
0.8272366780278226,1,47
0.8272366780278226,2,8
0.8272366780278226,3,3
0.8345092651295903,0,40
0.8345092651295903,1,49
0.8345092651295903,2,8
0.8345092651295903,3,3
0.8510864245783571,0,38
0.8510864245783571,1,51
0.8510864245783571,2,8
0.8510864245783571,3,3
0.8682211606499216,0,37
0.8682211606499216,1,51
0.8682211606499216,2,9
0.8682211606499216,3,3
0.904997432520443,0,36
0.904997432520443,1,51
0.904997432520443,2,10
0.904997432520443,3,3
1.0094730262067888,0,36
1.0094730262067888,1,51
1.0094730262067888,2,10
1.0094730262067888,3,3
1.0397693922908804,0,34
1.0397693922908804,1,53
1.0397693922908804,2,10
1.0397693922908804,3,3
1.0617984593900163,0,33
1.0617984593900163,1,53
1.0617984593900163,2,11
1.0617984593900163,3,3
1.114929481034557,0,31
1.114929481034557,1,55
1.114929481034557,2,11
1.114929481034557,3,3
1.1544404097289487,0,31
1.1544404097289487,1,55
1.1544404097289487,2,11
1.1544404097289487,3,3
1.1670064814906136,0,29
1.1670064814906136,1,57
1.1670064814906136,2,11
1.1670064814906136,3,3
1.1906860398119508,0,28
1.1906860398119508,1,57
1.1906860398119508,2,12
1.1906860398119508,3,3
1.2173009584544812,0,28
1.2173009584544812,1,55
1.2173009584544812,2,14
1.2173009584544812,3,3
1.2293407047598437,0,28
1.2293407047598437,1,53
1.2293407047598437,2,16
1.2293407047598437,3,3
1.305329430490973,0,26
1.305329430490973,1,55
1.305329430490973,2,16
1.305329430490973,3,3
1.3274229838720373,0,24
1.3274229838720373,1,57
1.3274229838720373,2,16
1.3274229838720373,3,3
1.3627765033931218,0,23
1.3627765033931218,1,57
1.3627765033931218,2,17
1.3627765033931218,3,3
1.3741761412144236,0,22
1.3741761412144236,1,57
1.3741761412144236,2,18
1.3741761412144236,3,3
1.4486545283613772,0,21
1.4486545283613772,1,57
1.4486545283613772,2,19
1.4486545283613772,3,3
1.473777982723086,0,21
1.473777982723086,1,55
1.473777982723086,2,21
1.473777982723086,3,3
1.5669290640606655,0,21
1.5669290640606655,1,54
1.5669290640606655,2,21
1.5669290640606655,3,4
1.586116399366097,0,21
1.586116399366097,1,54
1.586116399366097,2,21
1.586116399366097,3,4
1.5878758268136481,0,21
1.5878758268136481,1,53
1.5878758268136481,2,21
1.5878758268136481,3,5
1.632601415917659,0,19
1.632601415917659,1,55
1.632601415917659,2,21
1.632601415917659,3,5
1.6577404058612706,0,19
1.6577404058612706,1,53
1.6577404058612706,2,23
1.6577404058612706,3,5
1.672552402230817,0,19
1.672552402230817,1,52
1.672552402230817,2,23
1.672552402230817,3,6
1.7335619576618817,0,19
1.7335619576618817,1,50
1.7335619576618817,2,25
1.7335619576618817,3,6
1.765182680825637,0,19
1.765182680825637,1,50
1.765182680825637,2,25
1.765182680825637,3,6
1.856607526570988,0,18
1.856607526570988,1,50
1.856607526570988,2,26
1.856607526570988,3,6
2.0031934795629027,0,16
2.0031934795629027,1,52
2.0031934795629027,2,26
2.0031934795629027,3,6
2.0406010850637886,0,15
2.0406010850637886,1,53
2.0406010850637886,2,25
2.0406010850637886,3,7
2.043783112660909,0,15
2.043783112660909,1,52
2.043783112660909,2,26
2.043783112660909,3,6
2.043783112660909,4,1
2.1662444201484967,0,14
2.1662444201484967,1,52
2.1662444201484967,2,27
2.1662444201484967,3,6
2.1662444201484967,4,1
2.1784308748636336,0,14
2.1784308748636336,1,54
2.1784308748636336,2,25
2.1784308748636336,3,6
2.1784308748636336,4,1
2.1820956739423285,0,14
2.1820956739423285,1,52
2.1820956739423285,2,27
2.1820956739423285,3,6
2.1820956739423285,4,1
2.2528233460071654,0,13
2.2528233460071654,1,52
2.2528233460071654,2,28
2.2528233460071654,3,6
2.2528233460071654,4,1
2.284837086624557,0,13
2.284837086624557,1,51
2.284837086624557,2,29
2.284837086624557,3,6
2.284837086624557,5,1
2.3277849982543874,0,12
2.3277849982543874,1,51
2.3277849982543874,2,30
2.3277849982543874,3,6
2.3277849982543874,5,1
2.359739786244434,0,11
2.359739786244434,1,52
2.359739786244434,2,30
2.359739786244434,3,5
2.359739786244434,4,1
2.359739786244434,5,1
2.392728061080421,0,10
2.392728061080421,1,52
2.392728061080421,2,31
2.392728061080421,3,5
2.392728061080421,4,1
2.392728061080421,5,1
2.448830248460965,0,9
2.448830248460965,1,52
2.448830248460965,2,32
2.448830248460965,3,5
2.448830248460965,4,1
2.448830248460965,5,1
2.4530464062280144,0,8
2.4530464062280144,1,52
2.4530464062280144,2,33
2.4530464062280144,3,5
2.4530464062280144,4,1
2.4530464062280144,5,1
2.6107890968392375,0,7
2.6107890968392375,1,52
2.6107890968392375,2,34
2.6107890968392375,3,5
2.6107890968392375,4,1
2.6107890968392375,5,1
2.7356713212980615,0,7
2.7356713212980615,1,51
2.7356713212980615,2,34
2.7356713212980615,3,6
2.7356713212980615,4,1
2.7356713212980615,5,1
2.885919227721742,0,7
2.885919227721742,1,49
2.885919227721742,2,36
2.885919227721742,3,6
2.885919227721742,4,1
2.885919227721742,5,1
2.9088518544793542,0,7
2.9088518544793542,1,48
2.9088518544793542,2,36
2.9088518544793542,3,7
2.9088518544793542,4,1
2.9088518544793542,5,1
2.9962648220762746,0,7
2.9962648220762746,1,47
2.9962648220762746,2,36
2.9962648220762746,3,8
2.9962648220762746,4,1
2.9962648220762746,5,1
3.0014034239106056,0,7
3.0014034239106056,1,47
3.0014034239106056,2,36
3.0014034239106056,3,6
3.0014034239106056,4,3
3.0014034239106056,5,1
3.005981437798595,0,7
3.005981437798595,1,47
3.005981437798595,2,36
3.005981437798595,3,6
3.005981437798595,4,3
3.005981437798595,5,1
3.0065057333766503,0,7
3.0065057333766503,1,46
3.0065057333766503,2,36
3.0065057333766503,3,7
3.0065057333766503,4,3
3.0065057333766503,5,1
3.0577638080560723,0,7
3.0577638080560723,1,44
3.0577638080560723,2,38
3.0577638080560723,3,7
3.0577638080560723,4,3
3.0577638080560723,5,1
3.0951804164237813,0,7
3.0951804164237813,1,43
3.0951804164237813,2,38
3.0951804164237813,3,8
3.0951804164237813,4,3
3.0951804164237813,5,1
3.099686292657713,0,7
3.099686292657713,1,42
3.099686292657713,2,39
3.099686292657713,3,8
3.099686292657713,4,2
3.099686292657713,5,2
3.1180571267859865,0,6
3.1180571267859865,1,43
3.1180571267859865,2,38
3.1180571267859865,3,9
3.1180571267859865,4,2
3.1180571267859865,5,2
3.151626625459591,0,6
3.151626625459591,1,43
3.151626625459591,2,37
3.151626625459591,3,9
3.151626625459591,4,3
3.151626625459591,5,2
3.1576135730138333,0,6
3.1576135730138333,1,42
3.1576135730138333,2,38
3.1576135730138333,3,8
3.1576135730138333,4,4
3.1576135730138333,5,2
3.185653118228145,0,4
3.185653118228145,1,44
3.185653118228145,2,38
3.185653118228145,3,8
3.185653118228145,4,4
3.185653118228145,5,2
3.2049579966817587,0,4
3.2049579966817587,1,44
3.2049579966817587,2,38
3.2049579966817587,3,8
3.2049579966817587,4,4
3.2049579966817587,5,2
3.3290691138084325,0,4
3.3290691138084325,1,46
3.3290691138084325,2,36
3.3290691138084325,3,8
3.3290691138084325,4,4
3.3290691138084325,5,2
3.380319246917619,0,3
3.380319246917619,1,46
3.380319246917619,2,37
3.380319246917619,3,8
3.380319246917619,4,4
3.380319246917619,5,2
3.475714106306329,0,3
3.475714106306329,1,46
3.475714106306329,2,37
3.475714106306329,3,8
3.475714106306329,4,4
3.475714106306329,5,2
3.689912172618854,0,3
3.689912172618854,1,44
3.689912172618854,2,39
3.689912172618854,3,8
3.689912172618854,4,4
3.689912172618854,5,2
3.7175207452886356,0,3
3.7175207452886356,1,42
3.7175207452886356,2,41
3.7175207452886356,3,8
3.7175207452886356,4,4
3.7175207452886356,5,2
3.7327030056834687,0,3
3.7327030056834687,1,40
3.7327030056834687,2,43
3.7327030056834687,3,8
3.7327030056834687,4,4
3.7327030056834687,5,2
3.735602957279676,0,3
3.735602957279676,1,39
3.735602957279676,2,43
3.735602957279676,3,9
3.735602957279676,4,4
3.735602957279676,5,2
3.7389878318036605,0,3
3.7389878318036605,1,38
3.7389878318036605,2,43
3.7389878318036605,3,10
3.7389878318036605,4,4
3.7389878318036605,5,2
3.9159689422334556,0,3
3.9159689422334556,1,37
3.9159689422334556,2,43
3.9159689422334556,3,11
3.9159689422334556,4,4
3.9159689422334556,5,2
3.919691820001908,0,3
3.919691820001908,1,36
3.919691820001908,2,43
3.919691820001908,3,12
3.919691820001908,4,4
3.919691820001908,5,2
4.0443235859317666,0,3
4.0443235859317666,1,36
4.0443235859317666,2,41
4.0443235859317666,3,14
4.0443235859317666,4,4
4.0443235859317666,5,2
4.044811751568033,0,3
4.044811751568033,1,35
4.044811751568033,2,41
4.044811751568033,3,15
4.044811751568033,4,4
4.044811751568033,5,2
4.065271386466273,0,3
4.065271386466273,1,34
4.065271386466273,2,41
4.065271386466273,3,16
4.065271386466273,4,4
4.065271386466273,5,2
4.241983669185521,0,4
4.241983669185521,1,34
4.241983669185521,2,40
4.241983669185521,3,16
4.241983669185521,4,4
4.241983669185521,5,2
4.266858020169434,0,5
4.266858020169434,1,34
4.266858020169434,2,39
4.266858020169434,3,16
4.266858020169434,4,4
4.266858020169434,5,2
4.288003859483197,0,5
4.288003859483197,1,34
4.288003859483197,2,39
4.288003859483197,3,16
4.288003859483197,4,4
4.288003859483197,5,2
4.515874944422751,0,5
4.515874944422751,1,34
4.515874944422751,2,38
4.515874944422751,3,16
4.515874944422751,4,5
4.515874944422751,5,2
4.533470824029392,0,4
4.533470824029392,1,35
4.533470824029392,2,37
4.533470824029392,3,17
4.533470824029392,4,5
4.533470824029392,5,2
4.5670737999303945,0,4
4.5670737999303945,1,36
4.5670737999303945,2,37
4.5670737999303945,3,16
4.5670737999303945,4,5
4.5670737999303945,5,2
