t,degree,freq
0.016094544058774387,0,118
0.016094544058774387,1,2
0.03265702986116728,0,116
0.03265702986116728,1,4
0.06598539315997051,0,114
0.06598539315997051,1,6
0.10396165622865425,0,112
0.10396165622865425,1,8
0.10843021910649643,0,110
0.10843021910649643,1,10
0.11548109490708164,0,108
0.11548109490708164,1,12
0.14774821115114534,0,106
0.14774821115114534,1,14
0.19668925217454822,0,104
0.19668925217454822,1,16
0.22505696932477148,0,102
0.22505696932477148,1,18
0.22596135980023815,0,100
0.22596135980023815,1,20
0.2580512982535838,0,98
0.2580512982535838,1,22
0.27017542922321985,0,96
0.27017542922321985,1,24
0.28140578230296615,0,94
0.28140578230296615,1,26
0.28799038478046945,0,92
0.28799038478046945,1,28
0.3007405443627836,0,90
0.3007405443627836,1,30
0.31110690496297644,0,89
0.31110690496297644,1,30
0.31110690496297644,2,1
0.3355375428561202,0,87
0.3355375428561202,1,32
0.3355375428561202,2,1
0.3555360340892143,0,85
0.3555360340892143,1,34
0.3555360340892143,2,1
0.4051326599633387,0,83
0.4051326599633387,1,36
0.4051326599633387,2,1
0.43103372909865567,0,81
0.43103372909865567,1,38
0.43103372909865567,2,1
0.4327137321671517,0,79
0.4327137321671517,1,40
0.4327137321671517,2,1
0.45599505996495465,0,77
0.45599505996495465,1,42
0.45599505996495465,2,1
0.5680639940527161,0,79
0.5680639940527161,1,40
0.5680639940527161,2,1
0.6024730445803858,0,77
0.6024730445803858,1,42
0.6024730445803858,2,1
0.6146444250415877,0,76
0.6146444250415877,1,42
0.6146444250415877,2,2
0.6283965646728891,0,74
0.6283965646728891,1,44
0.6283965646728891,2,2
0.6589914022780476,0,72
0.6589914022780476,1,46
0.6589914022780476,2,2
0.6754978527843297,0,70
0.6754978527843297,1,48
0.6754978527843297,2,2
0.7043042792030569,0,68
0.7043042792030569,1,50
0.7043042792030569,2,2
0.7101145188241103,0,66
0.7101145188241103,1,52
0.7101145188241103,2,2
0.742296618918463,0,64
0.742296618918463,1,54
0.742296618918463,2,2
0.7866264959635687,0,62
0.7866264959635687,1,56
0.7866264959635687,2,2
0.8033177210474436,0,60
0.8033177210474436,1,58
0.8033177210474436,2,2
0.8723282550025598,0,59
0.8723282550025598,1,58
0.8723282550025598,2,3
0.8842222027105877,0,58
0.8842222027105877,1,58
0.8842222027105877,2,4
0.8857342207120825,0,57
0.8857342207120825,1,58
0.8857342207120825,2,5
0.9162655376366516,0,55
0.9162655376366516,1,60
0.9162655376366516,2,5
0.9174648543667906,0,56
0.9174648543667906,1,60
0.9174648543667906,2,4
0.9306477463627654,0,54
0.9306477463627654,1,62
0.9306477463627654,2,4
0.94197145469168,0,52
0.94197145469168,1,64
0.94197145469168,2,4
0.9435699618425681,0,54
0.9435699618425681,1,62
0.9435699618425681,2,4
0.976089138572957,0,53
0.976089138572957,1,62
0.976089138572957,2,5
0.9982407274441703,0,52
0.9982407274441703,1,62
0.9982407274441703,2,6
1.0299340454618562,0,50
1.0299340454618562,1,64
1.0299340454618562,2,6
1.0387303233847187,0,48
1.0387303233847187,1,66
1.0387303233847187,2,6
1.0397202843545632,0,46
1.0397202843545632,1,68
1.0397202843545632,2,6
1.044853961612778,0,44
1.044853961612778,1,70
1.044853961612778,2,6
1.1253962728508602,0,44
