t,degree,freq
0.007441106410757341,0,98
0.007441106410757341,1,2
0.03480590302976612,0,96
0.03480590302976612,1,4
0.03513525778869803,0,94
0.03513525778869803,1,6
0.047933441720819064,0,92
0.047933441720819064,1,8
0.0634686907819447,0,90
0.0634686907819447,1,10
0.11059777631608092,0,88
0.11059777631608092,1,12
0.12153431052994165,0,86
0.12153431052994165,1,14
0.14799568773471794,0,84
0.14799568773471794,1,16
0.1809106400864417,0,82
0.1809106400864417,1,18
0.20051086094975665,0,80
0.20051086094975665,1,20
0.23513918300408146,0,78
0.23513918300408146,1,22
0.2684304381097714,0,76
0.2684304381097714,1,24
0.2848372029616375,0,74
0.2848372029616375,1,26
0.2908668063879726,0,72
0.2908668063879726,1,28
0.30229341880530514,0,70
0.30229341880530514,1,30
0.3088658538368951,0,68
0.3088658538368951,1,32
0.3366811360854136,0,66
0.3366811360854136,1,34
0.3429710346509851,0,64
0.3429710346509851,1,36
0.42673442185367705,0,62
0.42673442185367705,1,38
0.45112024003175244,0,60
0.45112024003175244,1,40
0.4539750847556483,0,58
0.4539750847556483,1,42
0.47460096328311424,0,56
0.47460096328311424,1,44
0.5255680596661948,0,54
0.5255680596661948,1,46
0.6171168581816956,0,52
0.6171168581816956,1,48
0.62399696764459,0,50
0.62399696764459,1,50
0.6242107933598979,0,48
0.6242107933598979,1,52
0.6949694007412591,0,46
0.6949694007412591,1,54
0.7269822542368294,0,44
0.7269822542368294,1,56
0.7585946127563835,0,42
0.7585946127563835,1,58
0.8153046505919137,0,40
0.8153046505919137,1,60
0.879551681549058,0,38
0.879551681549058,1,62
0.908449511602208,0,36
0.908449511602208,1,64
0.9817665862636704,0,34
0.9817665862636704,1,66
0.9910427598523399,0,32
0.9910427598523399,1,68
1.0024475195142566,0,30
1.0024475195142566,1,70
1.0336085473108338,0,28
1.0336085473108338,1,72
1.1325104478530301,0,26
1.1325104478530301,1,74
1.2379648039950653,0,24
1.2379648039950653,1,76
1.326393198403629,0,22
1.326393198403629,1,78
1.3564528595954068,0,20
1.3564528595954068,1,80
1.382485437842569,0,18
1.382485437842569,1,82
1.5193679756694622,0,16
1.5193679756694622,1,84
1.534901312274932,0,14
1.534901312274932,1,86
1.6040555064828201,0,12
1.6040555064828201,1,88
1.6654394763032274,0,11
1.6654394763032274,1,88
1.6654394763032274,2,1
1.7036708084693153,0,10
1.7036708084693153,1,88
1.7036708084693153,2,2
1.9529617957501522,0,8
1.9529617957501522,1,90
1.9529617957501522,2,2
2.221404750650197,0,7
2.221404750650197,1,90
2.221404750650197,2,3
2.4276826939932064,0,5
2.4276826939932064,1,92
2.4276826939932064,2,3
2.441825706069837,0,4
2.441825706069837,1,92
2.441825706069837,2,4
2.4634701839736413,0,2
2.4634701839736413,1,94
2.4634701839736413,2,4
2.733990212740576,0,2
2.733990212740576,1,92
2.733990212740576,2,6
3.9754612644967287,0,1
3.9754612644967287,1,92
3.9754612644967287,2,7
5.087569660765299,1,92
5.087569660765299,2,8
5.822766375477739,1,90
5.822766375477739,2,10
9.017683047850355,0,1
9.017683047850355,1,90
9.017683047850355,2,9
10.235423904594883,0,2
10.235423904594883,1,90
10.235423904594883,2,8
10.590357864476847,0,1
10.590357864476847,1,90
10.590357864476847,2,9
10.959591295164161,1,90
10.959591295164161,2,10
11.093308079482394,1,90
11.093308079482394,2,10
12.330838798346333,0,1
12.330838798346333,1,90
12.330838798346333,2,9
12.7487082040278,0,1
12.7487082040278,1,90
12.7487082040278,2,9
15.533282406645325,0,1
15.533282406645325,1,92
15.533282406645325,2,7
16.354882306117357,1,93
16.354882306117357,2,6
16.354882306117357,3,1
16.546343730923226,1,91
16.546343730923226,2,8
16.546343730923226,3,1
18.64311393101498,1,90
18.64311393101498,2,8
18.64311393101498,3,2
26.374741091262848,1,92
26.374741091262848,2,6
26.374741091262848,3,2
27.62267233174167,1,90
27.62267233174167,2,8
27.62267233174167,3,2
27.721500215956738,1,88
27.721500215956738,2,10
27.721500215956738,3,2
30.09769805302895,1,90
30.09769805302895,2,8
30.09769805302895,3,2
36.539698425549496,1,90
36.539698425549496,2,8
36.539698425549496,3,2
42.39155170197779,1,90
42.39155170197779,2,8
42.39155170197779,3,2
42.93638535405898,1,92
42.93638535405898,2,6
