t,degree,freq
0.010560063317543344,0,98
0.010560063317543344,1,2
0.016164258532716743,0,96
0.016164258532716743,1,4
0.07412970836997251,0,94
0.07412970836997251,1,6
0.09231333367647707,0,92
0.09231333367647707,1,8
0.15233347125489122,0,90
0.15233347125489122,1,10
0.16775676627403244,0,88
0.16775676627403244,1,12
0.1975955697949308,0,86
0.1975955697949308,1,14
0.2193482548675142,0,84
0.2193482548675142,1,16
0.27352951788412727,0,83
0.27352951788412727,1,16
0.27352951788412727,2,1
0.2811964860284771,0,81
0.2811964860284771,1,18
0.2811964860284771,2,1
0.2865584373203006,0,79
0.2865584373203006,1,20
0.2865584373203006,2,1
0.2939107277573842,0,77
0.2939107277573842,1,22
0.2939107277573842,2,1
0.3063865814979325,0,75
0.3063865814979325,1,24
0.3063865814979325,2,1
0.3554676078206597,0,73
0.3554676078206597,1,26
0.3554676078206597,2,1
0.36098149094081705,0,71
0.36098149094081705,1,28
0.36098149094081705,2,1
0.3971065917213781,0,69
0.3971065917213781,1,30
0.3971065917213781,2,1
0.41637918937221347,0,67
0.41637918937221347,1,32
0.41637918937221347,2,1
0.437978504117262,0,65
0.437978504117262,1,34
0.437978504117262,2,1
0.4383088840741586,0,63
0.4383088840741586,1,36
0.4383088840741586,2,1
0.4989623306146118,0,61
0.4989623306146118,1,38
0.4989623306146118,2,1
0.5131410761425959,0,59
0.5131410761425959,1,40
0.5131410761425959,2,1
0.5299764422509323,0,57
0.5299764422509323,1,42
0.5299764422509323,2,1
0.5613935547006009,0,55
0.5613935547006009,1,44
0.5613935547006009,2,1
0.5801939442863762,0,54
0.5801939442863762,1,44
0.5801939442863762,2,2
0.5837210796038467,0,53
0.5837210796038467,1,44
0.5837210796038467,2,3
0.6523767871015878,0,52
0.6523767871015878,1,44
0.6523767871015878,2,4
0.6712328528743503,0,51
0.6712328528743503,1,44
0.6712328528743503,2,5
0.6974651342123219,0,49
0.6974651342123219,1,46
0.6974651342123219,2,5
0.7132726997548824,0,48
0.7132726997548824,1,46
0.7132726997548824,2,6
0.7249094751728794,0,47
0.7249094751728794,1,46
0.7249094751728794,2,7
0.8191842713308621,0,46
0.8191842713308621,1,46
0.8191842713308621,2,8
0.8506080967123241,0,46
0.8506080967123241,1,44
0.8506080967123241,2,10
0.8777896514763976,0,48
0.8777896514763976,1,42
0.8777896514763976,2,10
0.891959786825236,0,46
0.891959786825236,1,44
0.891959786825236,2,10
0.8958008464686347,0,46
0.8958008464686347,1,44
0.8958008464686347,2,10
0.9828124814103512,0,46
0.9828124814103512,1,44
0.9828124814103512,2,10
1.0175094644962257,0,44
1.0175094644962257,1,46
1.0175094644962257,2,10
1.0339226032338138,0,42
1.0339226032338138,1,48
1.0339226032338138,2,10
1.2290373699607096,0,41
1.2290373699607096,1,48
1.2290373699607096,2,11
1.2509984477440343,0,39
1.2509984477440343,1,50
1.2509984477440343,2,11
1.2966379207930026,0,38
1.2966379207930026,1,50
1.2966379207930026,2,12
1.363348420859747,0,37
1.363348420859747,1,50
1.363348420859747,2,13
1.3911285297925307,0,37
1.3911285297925307,1,48
1.3911285297925307,2,15
1.4455947881775018,0,36
1.4455947881775018,1,49
1.4455947881775018,2,14
1.4455947881775018,3,1
1.4583471689091205,0,35
1.4583471689091205,1,49
1.4583471689091205,2,15
1.4583471689091205,3,1
1.492682868419129,0,35
1.492682868419129,1,47
1.492682868419129,2,17
1.492682868419129,3,1
1.5866408925397186,0,35
1.5866408925397186,1,47
1.5866408925397186,2,17
1.5866408925397186,3,1
1.6653885382808165,0,34
1.6653885382808165,1,47
1.6653885382808165,2,18
1.6653885382808165,3,1
1.7224393093586428,0,33
1.7224393093586428,1,47
1.7224393093586428,2,19
1.7224393093586428,3,1
1.7561211088754296,0,33
1.7561211088754296,1,47
1.7561211088754296,2,19
1.7561211088754296,3,1
1.8000530502198866,0,31
1.8000530502198866,1,49
1.8000530502198866,2,19
1.8000530502198866,3,1
1.8750286575940625,0,30
1.8750286575940625,1,49
1.8750286575940625,2,20
1.8750286575940625,3,1
1.9050637841165645,0,28
1.9050637841165645,1,51
1.9050637841165645,2,20
1.9050637841165645,3,1
1.9230979905711763,0,26
1.9230979905711763,1,53
1.9230979905711763,2,20
1.9230979905711763,3,1
1.9258522081098401,0,24
1.9258522081098401,1,55
1.9258522081098401,2,20
1.9258522081098401,3,1
1.9294692583298014,0,23
1.9294692583298014,1,55
1.9294692583298014,2,21
1.9294692583298014,3,1
1.939437453546025,0,22
1.939437453546025,1,55
1.939437453546025,2,22
1.939437453546025,3,1
2.050625691407677,0,21
2.050625691407677,1,55
2.050625691407677,2,23
2.050625691407677,3,1
2.0991266385797935,0,20
2.0991266385797935,1,55
2.0991266385797935,2,24
2.0991266385797935,3,1
2.1140296879396594,0,18
2.1140296879396594,1,57
2.1140296879396594,2,24
2.1140296879396594,3,1
2.1241581363589495,0,18
2.1241581363589495,1,55
2.1241581363589495,2,26
2.1241581363589495,3,1
2.137873520880149,0,18
2.137873520880149,1,53
2.137873520880149,2,28
2.137873520880149,3,1
2.2152396116008966,0,20
2.2152396116008966,1,51
2.2152396116008966,2,28
2.2152396116008966,3,1
2.2732640828884603,0,20
2.2732640828884603,1,49
2.2732640828884603,2,30
2.2732640828884603,3,1
2.3345479737693933,0,18
2.3345479737693933,1,51
2.3345479737693933,2,30
2.3345479737693933,3,1
2.389829906119083,0,19
2.389829906119083,1,51
2.389829906119083,2,29
2.389829906119083,3,1
2.4858259925425212,0,17
2.4858259925425212,1,53
2.4858259925425212,2,29
2.4858259925425212,3,1
2.517028086573332,0,16
2.517028086573332,1,54
2.517028086573332,2,28
2.517028086573332,3,2
2.535046800065865,0,15
2.535046800065865,1,54
2.535046800065865,2,29
2.535046800065865,3,2
2.5362640618651584,0,14
2.5362640618651584,1,54
2.5362640618651584,2,30
2.5362640618651584,3,2
2.558626944184436,0,14
2.558626944184436,1,53
2.558626944184436,2,30
2.558626944184436,3,3
2.590387298386917,0,13
2.590387298386917,1,54
2.590387298386917,2,29
2.590387298386917,3,4
2.693235258534211,0,13
2.693235258534211,1,52
2.693235258534211,2,31
2.693235258534211,3,4
2.729430412808226,0,11
2.729430412808226,1,54
2.729430412808226,2,31
